"date","theme","topic","index_within_date","new_word","theme_upper","category","content_length"
2020-04-04,"OFFICIAL"," Letter to States or UTs and Heads of all the Associations of Doctors or Healthcare providers regarding 'Pradhan Mantri Garib Kalyan Package- Insurance Scheme with Forms.pdf",1," Letter to States or UTs and Heads of all the Associations of Doctors or Healthcare providers regarding 'Pradhan Mantri Garib Kalyan Package- Insurance Scheme with Forms","OFFICIAL","OFFICIAL",26
2020-04-04,"OFFICIAL"," Letter to States or UTs with Control Room Emergency contact numbers of All India Industrial Gases Manufacturer’s Association.pdf",2," Letter to States or UTs with Control Room Emergency contact numbers of All India Industrial Gases Manufacturer’s Association","OFFICIAL","OFFICIAL",18
2020-04-05,"CITIZENS"," Guidelines for Handling Treatment and Disposal of Waste Generated during Treatment Diagnosis Quarantine of COVID-19 Patients.pdf",1," Guidelines for Handling Treatment and Disposal of Waste Generated during Treatment Diagnosis Quarantine of COVID-19 Patients","CITIZENS","CITIZENS",16
2020-04-05,"CITIZENS"," Guidelines for Quarantine facilities COVID-19.pdf",2," Guidelines for Quarantine facilities COVID-19","CITIZENS","CITIZENS",5
2020-04-05,"OFFICIAL"," Advisory issued by Ministry of Rural Development to the State Rural Livelihoods Missions on actions to be taken to address the COVID 19 outbreak.pdf",1," Advisory issued by Ministry of Rural Development to the State Rural Livelihoods Missions on actions to be taken to address the COVID 19 outbreak","OFFICIAL","OFFICIAL",24
2020-04-05,"OFFICIAL"," Guidelines for Handling, Treatment and Disposal of Waste Generated during Treatment or Diagnosis or Quarantine of COVID-19 Patients.pdf",2," Guidelines for Handling, Treatment and Disposal of Waste Generated during Treatment or Diagnosis or Quarantine of COVID-19 Patients","OFFICIAL","OFFICIAL",18
2020-04-05,"OFFICIAL"," Guidelines for Quarantine facilities COVID-19.pdf",3," Guidelines for Quarantine facilities COVID-19","OFFICIAL","OFFICIAL",5
2020-04-06,"TRAINING"," Updated List of Training Resources for COVID - 19 Management.pdf",1," Updated List of Training Resources for COVID - 19 Management","TRAINING","OTHERS",10
2020-04-07,"CITIZENS"," Ministry of AYUSH advise on immunity boosting measures for self care during COVID 19 crisis.pdf",1," Ministry of AYUSH advise on immunity boosting measures for self care during COVID 19 crisis","CITIZENS","CITIZENS",15
2020-04-07,"CITIZENS"," Revised Guidelines for Dialysis of COVID – 19 patients.pdf",2," Revised Guidelines for Dialysis of COVID – 19 patients","CITIZENS","CITIZENS",9
2020-04-07,"CITIZENS","Pradhan Mantri Garib Kalyan Package Insurance Scheme for Health Workers Fighting COVID 19  FAQs.pdf",3,"Pradhan Mantri Garib Kalyan Package Insurance Scheme for Health Workers Fighting COVID 19  FAQs","CITIZENS","CITIZENS",14
2020-04-07,"HOSPITALS"," Revised Guidelines for Dialysis of COVID – 19 patients.pdf",1," Revised Guidelines for Dialysis of COVID – 19 patients","HOSPITALS","HOSPITALS",9
2020-04-07,"OFFICIAL"," Guidance document on appropriate management of suspect or confirmed cases of COVID-19 - Types of Covid-19 dedicated facilities.pdf",1," Guidance document on appropriate management of suspect or confirmed cases of COVID-19 - Types of Covid-19 dedicated facilities","OFFICIAL","OFFICIAL",18
2020-04-07,"OFFICIAL"," Ministry of AYUSH advise on immunity boosting measures for self care during COVID 19 crisis.pdf",2," Ministry of AYUSH advise on immunity boosting measures for self care during COVID 19 crisis","OFFICIAL","OFFICIAL",15
2020-04-07,"OFFICIAL"," Pradhan Mantri Garib Kalyan Package- Insurance Scheme for Health Workers Fighting COVID-19 - FAQs.pdf",3," Pradhan Mantri Garib Kalyan Package- Insurance Scheme for Health Workers Fighting COVID-19 - FAQs","OFFICIAL","OFFICIAL",14
2020-04-07,"TRAINING"," iGOT Training Modules for COVID-19 Management.pdf",1," iGOT Training Modules for COVID-19 Management","TRAINING","OTHERS",6
2020-04-08,"PSYCHOSOCIAL"," Addressing Social Stigma Associated with COVID-19.pdf",1," Addressing Social Stigma Associated with COVID-19","PSYCHOSOCIAL","OTHERS",6
